658464, EECO12, 2024-01-24 15:08:49, 03EGTBE005, None
658465, EECO13, 2024-01-24 15:08:49, 03EGTBE005, None
658466, EECO14, 2024-01-24 15:08:49, 03EGTBE005, None
658467, PO1a1, 2024-01-24 15:08:49, 03EGTBE005, None
658468, PO1a1, 2024-01-24 15:08:49, 03EGTBE007, None
658469, PO1a1, 2024-01-24 15:08:50, 03EGTBE009, None
658470, EECO01, 2024-01-24 15:08:51, 03EGTBE012, None
658471, EECO02, 2024-01-24 15:08:51, 03EGTBE012, None
658472, EECO03, 2024-01-24 15:08:51, 03EGTBE012, None
658473, EECO04, 2024-01-24 15:08:51, 03EGTBE012, None
658474, EECO05, 2024-01-24 15:08:51, 03EGTBE012, None
658475, EECO06, 2024-01-24 15:08:51, 03EGTBE012, None
658476, EECO07, 2024-01-24 15:08:51, 03EGTBE012, None
658477, EECO08, 2024-01-24 15:08:51, 03EGTBE012, None
658478, EECO09, 2024-01-24 15:08:51, 03EGTBE012, None
658479, EECO10, 2024-01-24 15:08:51, 03EGTBE012, None
658480, EECO11, 2024-01-24 15:08:51, 03EGTBE012, None
658481, EECO12, 2024-01-24 15:08:51, 03EGTBE012, None
658482, EECO13, 2024-01-24 15:08:51, 03EGTBE012, None
658483, EECO14, 2024-01-24 15:08:51, 03EGTBE012, None
658484, PO1a1, 2024-01-24 15:08:51, 03EGTBE012, None
658485, EECO01, 2024-01-24 15:08:51, 03EGTBE013, None
658486, EECO02, 2024-01-24 15:08:51, 03EGTBE013, None
658487, EECO03, 2024-01-24 15:08:51, 03EGTBE013, None
658488, EECO04, 2024-01-24 15:08:51, 03EGTBE013, None
658489, EECO05, 2024-01-24 15:08:51, 03EGTBE013, None
658490, EECO06, 2024-01-24 15:08:51, 03EGTBE013, None
658491, EECO07, 2024-01-24 15:08:51, 03EGTBE013, None
658492, EECO08, 2024-01-24 15:08:51, 03EGTBE013, None
658493, EECO09, 2024-01-24 15:08:51, 03EGTBE013, None
658494, EECO10, 2024-01-24 15:08:51, 03EGTBE013, None
658495, EECO11, 2024-01-24 15:08:51, 03EGTBE013, None
658496, EECO12, 2024-01-24 15:08:51, 03EGTBE013, None
658497, EECO13, 2024-01-24 15:08:51, 03EGTBE013, None
658498, EECO14, 2024-01-24 15:08:51, 03EGTBE013, None
658499, PO1a1, 2024-01-24 15:08:51, 03EGTBE013, None
658500, EECO01, 2024-01-24 15:08:52, 03EGTBE014, None
658501, EECO02, 2024-01-24 15:08:52, 03EGTBE014, None
658502, EECO03, 2024-01-24 15:08:52, 03EGTBE014, None
658503, EECO04, 2024-01-24 15:08:52, 03EGTBE014, None
658504, EECO05, 2024-01-24 15:08:52, 03EGTBE014, None
658505, EECO06, 2024-01-24 15:08:52, 03EGTBE014, None
658506, EECO07, 2024-01-24 15:08:52, 03EGTBE014, None
658507, EECO08, 2024-01-24 15:08:52, 03EGTBE014, None
658508, EECO09, 2024-01-24 15:08:52, 03EGTBE014, None
658509, EECO10, 2024-01-24 15:08:52, 03EGTBE014, None
658510, EECO11, 2024-01-24 15:08:52, 03EGTBE014, None
658511, EECO12, 2024-01-24 15:08:52, 03EGTBE014, None
658512, EECO13, 2024-01-24 15:08:52, 03EGTBE014, None
658513, EECO14, 2024-01-24 15:08:52, 03EGTBE014, None
658514, PO1a1, 2024-01-24 15:08:52, 03EGTBE014, None
658515, EECO01, 2024-01-24 15:08:53, 03EGTBW001, None
658516, EECO02, 2024-01-24 15:08:53, 03EGTBW001, None
658517, EECO03, 2024-01-24 15:08:53, 03EGTBW001, None
658518, EECO04, 2024-01-24 15:08:53, 03EGTBW001, None
658519, EECO05, 2024-01-24 15:08:53, 03EGTBW001, None
658520, EECO06, 2024-01-24 15:08:53, 03EGTBW001, None
658521, EECO07, 2024-01-24 15:08:53, 03EGTBW001, None
658522, EECO08, 2024-01-24 15:08:53, 03EGTBW001, None
658523, EECO09, 2024-01-24 15:08:53, 03EGTBW001, None
658524, EECO10, 2024-01-24 15:08:53, 03EGTBW001, None
658525, EECO11, 2024-01-24 15:08:53, 03EGTBW001, None
658526, EECO12, 2024-01-24 15:08:53, 03EGTBW001, None
658527, EECO13, 2024-01-24 15:08:53, 03EGTBW001, None
658528, EECO14, 2024-01-24 15:08:53, 03EGTBW001, None
658529, PO1a1, 2024-01-24 15:08:53, 03EGTBW001, None
658530, EECO01, 2024-01-24 15:08:54, 03EGTBW003, None
658531, EECO02, 2024-01-24 15:08:54, 03EGTBW003, None
658532, EECO03, 2024-01-24 15:08:54, 03EGTBW003, None
658533, EECO04, 2024-01-24 15:08:54, 03EGTBW003, None
658534, EECO05, 2024-01-24 15:08:54, 03EGTBW003, None
658535, EECO06, 2024-01-24 15:08:54, 03EGTBW003, None
658536, EECO07, 2024-01-24 15:08:54, 03EGTBW003, None
658537, EECO08, 2024-01-24 15:08:54, 03EGTBW003, None
658538, EECO09, 2024-01-24 15:08:54, 03EGTBW003, None
658539, EECO10, 2024-01-24 15:08:54, 03EGTBW003, None
658540, EECO11, 2024-01-24 15:08:54, 03EGTBW003, None
658541, EECO12, 2024-01-24 15:08:54, 03EGTBW003, None
658542, EECO13, 2024-01-24 15:08:54, 03EGTBW003, None
658544, PO1a1, 2024-01-24 15:08:54, 03EGTBW003, None
658545, EECO01, 2024-01-24 15:08:54, 03EGTBW005, None
658546, EECO02, 2024-01-24 15:08:54, 03EGTBW005, None
658547, EECO03, 2024-01-24 15:08:54, 03EGTBW005, None
658548, EECO04, 2024-01-24 15:08:54, 03EGTBW005, None
658549, EECO05, 2024-01-24 15:08:54, 03EGTBW005, None
658550, EECO06, 2024-01-24 15:08:54, 03EGTBW005, None
658551, EECO07, 2024-01-24 15:08:54, 03EGTBW005, None
658552, EECO08, 2024-01-24 15:08:54, 03EGTBW005, None
