33331, EECO10, YES, 03EGTNW034, 2024-01-24 15:09:41, 126400, 2023, 0
33330, EECO11, YES, 03EGTNW034, 2024-01-24 15:09:41, 126401, 2023, 1
33329, EECO11, YES, 03EGTNW034, 2024-01-24 15:09:41, 126402, 2023, 1
33331, EECO11, YES, 03EGTNW034, 2024-01-24 15:09:41, 126403, 2023, 1
33330, EECO02, YES, 03EGTNW034, 2024-01-24 15:09:41, 126404, 2023, 0
33329, EECO02, YES, 03EGTNW034, 2024-01-24 15:09:41, 126405, 2023, 0
33331, EECO02, YES, 03EGTNW034, 2024-01-24 15:09:41, 126406, 2023, 0
33330, EECO04, YES, 03EGTNW034, 2024-01-24 15:09:42, 126407, 2023, 0
33329, EECO04, YES, 03EGTNW034, 2024-01-24 15:09:42, 126408, 2023, 0
33331, EECO04, YES, 03EGTNW034, 2024-01-24 15:09:42, 126409, 2023, 0
33330, EECO05, YES, 03EGTNW034, 2024-01-24 15:09:42, 126410, 2023, 0
33329, EECO05, YES, 03EGTNW034, 2024-01-24 15:09:42, 126411, 2023, 0
33331, EECO05, YES, 03EGTNW034, 2024-01-24 15:09:42, 126412, 2023, 0
33736, EECO01, YES, 03EGTNW035, 2024-01-24 15:09:42, 126413, 2023, 1
33736, EECO03, YES, 03EGTNW035, 2024-01-24 15:09:42, 126414, 2023, 0
33736, EECO06, YES, 03EGTNW035, 2024-01-24 15:09:42, 126415, 2023, 0
33736, EECO07, YES, 03EGTNW035, 2024-01-24 15:09:42, 126416, 2023, 1
33736, EECO08, YES, 03EGTNW035, 2024-01-24 15:09:42, 126417, 2023, 0
33736, EECO12, YES, 03EGTNW035, 2024-01-24 15:09:42, 126418, 2023, 0
33736, EECO13, YES, 03EGTNW035, 2024-01-24 15:09:42, 126419, 2023, 0
33736, EECO14, YES, 03EGTNW035, 2024-01-24 15:09:42, 126420, 2023, 1
33736, EECO09, YES, 03EGTNW035, 2024-01-24 15:09:42, 126421, 2023, 0
33736, EECO10, YES, 03EGTNW035, 2024-01-24 15:09:42, 126422, 2023, 0
33736, EECO11, YES, 03EGTNW035, 2024-01-24 15:09:42, 126423, 2023, 1
33736, EECO02, YES, 03EGTNW035, 2024-01-24 15:09:42, 126424, 2023, 0
33736, EECO04, YES, 03EGTNW035, 2024-01-24 15:09:42, 126425, 2023, 0
33736, EECO05, YES, 03EGTNW035, 2024-01-24 15:09:42, 126426, 2023, 1
33783, EECO01, YES, 03EGTNW036, 2024-01-24 15:09:42, 126427, 2023, 1
33784, EECO01, YES, 03EGTNW036, 2024-01-24 15:09:42, 126428, 2023, 1
33782, EECO01, YES, 03EGTNW036, 2024-01-24 15:09:42, 126429, 2023, 1
33783, EECO03, YES, 03EGTNW036, 2024-01-24 15:09:43, 126430, 2023, 0
33784, EECO03, YES, 03EGTNW036, 2024-01-24 15:09:43, 126431, 2023, 0
33782, EECO03, YES, 03EGTNW036, 2024-01-24 15:09:43, 126432, 2023, 0
33783, EECO06, YES, 03EGTNW036, 2024-01-24 15:09:43, 126433, 2023, 0
33784, EECO06, YES, 03EGTNW036, 2024-01-24 15:09:43, 126434, 2023, 0
33782, EECO06, YES, 03EGTNW036, 2024-01-24 15:09:43, 126435, 2023, 0
33783, EECO07, YES, 03EGTNW036, 2024-01-24 15:09:43, 126436, 2023, 0
33784, EECO07, YES, 03EGTNW036, 2024-01-24 15:09:43, 126437, 2023, 1
33782, EECO07, YES, 03EGTNW036, 2024-01-24 15:09:43, 126438, 2023, 1
33783, EECO08, YES, 03EGTNW036, 2024-01-24 15:09:43, 126439, 2023, 0
33784, EECO08, YES, 03EGTNW036, 2024-01-24 15:09:43, 126440, 2023, 0
33782, EECO08, YES, 03EGTNW036, 2024-01-24 15:09:43, 126441, 2023, 0
33783, EECO12, YES, 03EGTNW036, 2024-01-24 15:09:43, 126442, 2023, 0
33784, EECO12, YES, 03EGTNW036, 2024-01-24 15:09:43, 126443, 2023, 0
33782, EECO12, YES, 03EGTNW036, 2024-01-24 15:09:43, 126444, 2023, 0
33783, EECO13, YES, 03EGTNW036, 2024-01-24 15:09:43, 126445, 2023, 0
33784, EECO13, YES, 03EGTNW036, 2024-01-24 15:09:43, 126446, 2023, 0
33782, EECO13, YES, 03EGTNW036, 2024-01-24 15:09:43, 126447, 2023, 0
33783, EECO14, YES, 03EGTNW036, 2024-01-24 15:09:43, 126448, 2023, 0
33784, EECO14, YES, 03EGTNW036, 2024-01-24 15:09:43, 126449, 2023, 0
33782, EECO14, YES, 03EGTNW036, 2024-01-24 15:09:43, 126450, 2023, 0
33783, EECO09, YES, 03EGTNW036, 2024-01-24 15:09:43, 126451, 2023, 0
33784, EECO09, YES, 03EGTNW036, 2024-01-24 15:09:43, 126452, 2023, 0
33782, EECO09, YES, 03EGTNW036, 2024-01-24 15:09:43, 126453, 2023, 0
33783, EECO10, YES, 03EGTNW036, 2024-01-24 15:09:43, 126454, 2023, 0
